trade_id,entry_time_ist,entry_price,entry_utc,exit_time_ist,exit_price,exit_utc,trigger_delay_min,total_time_min,market_structure,directional_bias,trade_class,trade_status,confidence,outcome,return_pct,reason,mfe_pct,mae_pct
109,2026-08-05 12:00:00 IST,24575.599609375,2026-08-05 06:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
110,2026-08-05 12:05:00 IST,24576.5,2026-08-05 06:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
111,2026-08-05 12:10:00 IST,24573.599609375,2026-08-05 06:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
112,2026-08-05 12:15:00 IST,24566.849609375,2026-08-05 06:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
113,2026-08-05 12:20:00 IST,24571.94921875,2026-08-05 06:50:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
114,2026-08-05 12:25:00 IST,24566.900390625,2026-08-05 06:55:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
115,2026-08-05 12:30:00 IST,24543.849609375,2026-08-05 07:00:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
116,2026-08-05 12:35:00 IST,24540.05078125,2026-08-05 07:05:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
117,2026-08-05 12:40:00 IST,24532.05078125,2026-08-05 07:10:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
118,2026-08-05 12:45:00 IST,24523.69921875,2026-08-05 07:15:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
119,2026-08-05 12:50:00 IST,24522.650390625,2026-08-05 07:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
120,2026-08-05 12:55:00 IST,24516.099609375,2026-08-05 07:25:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
121,2026-08-05 13:00:00 IST,24530.80078125,2026-08-05 07:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
122,2026-08-05 13:05:00 IST,24536.19921875,2026-08-05 07:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
123,2026-08-05 13:10:00 IST,24535.05078125,2026-08-05 07:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
124,2026-08-05 13:15:00 IST,24547.25,2026-08-05 07:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
