session_date,instrument,cpr_classification,gap_direction,ladder,virgin_cpr,selected_strategy,direction,entry_price,stop_price,target_price,exit_price,net_pnl,result
2026-08-21,BANKNIFTY,NARROW,BULLISH,ASCENDING,True,PIVOT_BOUNCE,SHORT,57651.39981875,57816.90108125,57543.3503,57647.6484375,112.54,WIN
2026-08-24,BANKNIFTY,NORMAL,BULLISH,ASCENDING,False,PIVOT_BOUNCE,SHORT,57862.06638125,57972.18358125,57672.1328,57672.1328,5698.01,WIN
2026-08-26,BANKNIFTY,NARROW,BULLISH,DESCENDING,False,PIVOT_BOUNCE,SHORT,57701.48436250001,57898.769525,57466.5664,57922.05078125,-6616.99,LOSS
2026-08-27,BANKNIFTY,NARROW,BULLISH,ASCENDING,True,PIVOT_BOUNCE,SHORT,57974.2994,58174.84891875,57805.1497,57805.1497,5074.49,WIN
2026-08-28,BANKNIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,57344.5650375,57169.18095625,57675.3333,57432.25,2630.55,WIN
2026-08-31,BANKNIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,57308.567762499995,57110.8346625,57452.4831,57452.4831,4317.46,WIN
2026-09-01,BANKNIFTY,WIDE,BEARISH,ASCENDING,False,PIVOT_BOUNCE,LONG,57466.68358125001,56898.4179625,57745.8164,57745.8164,8373.98,WIN
2026-09-02,BANKNIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,57015.1484375,56816.8333,57442.0833,57087.3984375,2167.5,WIN
2026-09-04,BANKNIFTY,NORMAL,BULLISH,ASCENDING,True,PIVOT_BOUNCE,SHORT,57628.500037499995,57886.39845625,57504.5508,57504.5508,3718.48,WIN
2026-09-07,BANKNIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,LONG,57238.08198125,57096.5156,57457.0156,57063.3984375,-5240.51,LOSS
2026-09-08,BANKNIFTY,NARROW,BEARISH,DESCENDING,False,PIVOT_BOUNCE,LONG,56918.75,56739.19921875,57172.5,56736.5,-5467.5,LOSS
2026-09-15,BANKNIFTY,WIDE,BULLISH,NEUTRAL,False,PIVOT_BOUNCE,SHORT,56933.6509625,57270.7512625,56318.1497,56318.1497,18465.04,WIN
2026-09-17,BANKNIFTY,NORMAL,BEARISH,NEUTRAL,False,PIVOT_BOUNCE,SHORT,56502.4478375,56722.446575,56158.1497,56158.1497,10328.94,WIN
2026-09-18,BANKNIFTY,NORMAL,BULLISH,ASCENDING,False,PIVOT_BOUNCE,SHORT,56404.39978125,56763.0495,56221.7995,56360.19921875,1326.02,WIN
2026-09-21,BANKNIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,SHORT,56546.049562500004,56743.39978125,56310.099,56494.8984375,1534.53,WIN
2026-09-22,BANKNIFTY,NARROW,NEUTRAL,ASCENDING,False,PIVOT_BOUNCE,LONG,56287.699181250005,56070.49998125,56477.9492,56280.94921875,-202.5,LOSS
2026-09-23,BANKNIFTY,NORMAL,NEUTRAL,DESCENDING,False,PIVOT_BOUNCE,SHORT,56555.38418125,56905.21748125,56331.1667,56542.25,394.03,WIN
