trade_id,timestamp,entry_price,exit_price,exit_reason,outcome,pnl,stop,target,strategy,signal,direction
PT-20260917145447-5F4E34,2026-08-28 08:30:00,24102.900390625,24103.650390625,TARGET_HIT,TARGET_HIT,-15.0,24104.104850260417,23741.356884765624,,BEARISH,BEARISH
PT-20260917145447-E45D62,2026-08-28 08:35:00,24103.650390625,24110.80078125,TARGET_HIT,TARGET_HIT,-143.0078125,24104.668196614588,23742.095634765625,,BEARISH,BEARISH
PT-20260917145447-0C49EC,2026-08-28 09:45:00,24142.44921875,24142.44921875,SESSION_CLOSE,EXPIRED,0.0,24117.643229166664,24504.585957031246,,BULLISH,BULLISH
PT-20260917145447-70E905,2026-08-28 09:50:00,24142.44921875,24142.44921875,SESSION_CLOSE,EXPIRED,0.0,24119.072363281248,24504.585957031246,,BULLISH,BULLISH
PT-20260917145447-812A2F,2026-08-28 09:55:00,24175.650390625,24175.650390625,SESSION_CLOSE,EXPIRED,0.0,24121.98069661458,24538.285146484373,,BULLISH,BULLISH
PT-20260917145447-3FA927,2026-08-31 04:00:00,24057.55078125,24046.900390625,TARGET_HIT,TARGET_HIT,213.0078125,24113.72412109375,23696.68751953125,,BEARISH,BEARISH
PT-20260917145447-694DD1,2026-08-31 04:05:00,24046.900390625,24024.599609375,TARGET_HIT,TARGET_HIT,446.015625,24110.864127604167,23686.196884765624,,BEARISH,BEARISH
PT-20260917145447-74DBCE,2026-08-31 04:10:00,24024.599609375,24026.19921875,TARGET_HIT,TARGET_HIT,-31.9921875,24106.919954427085,23664.230615234374,,BEARISH,BEARISH
PT-20260917145447-9D038B,2026-08-31 04:15:00,24026.19921875,24023.349609375,TARGET_HIT,TARGET_HIT,56.9921875,24102.63828125,23665.80623046875,,BEARISH,BEARISH
PT-20260917145447-3C6FD6,2026-08-31 04:20:00,24023.349609375,24025.5,TARGET_HIT,TARGET_HIT,-43.0078125,24098.078287760414,23662.999365234376,,BEARISH,BEARISH
PT-20260917145447-695209,2026-08-31 04:25:00,24025.5,24032.69921875,TARGET_HIT,TARGET_HIT,-143.984375,24093.215787760415,23665.1175,,BEARISH,BEARISH
PT-20260917145447-4D9FC3,2026-08-31 04:30:00,24032.69921875,24029.75,TARGET_HIT,TARGET_HIT,58.984375,24088.76162109375,23672.20873046875,,BEARISH,BEARISH
PT-20260917145447-0E9B9A,2026-08-31 04:35:00,24029.75,24017.849609375,TARGET_HIT,TARGET_HIT,238.0078125,24084.564941406254,23669.30375,,BEARISH,BEARISH
PT-20260917145447-CE20AC,2026-08-31 04:40:00,24017.849609375,24012.150390625,TARGET_HIT,TARGET_HIT,113.984375,24079.44576822917,23657.581865234373,,BEARISH,BEARISH
PT-20260917145447-B97589,2026-08-31 04:45:00,24012.150390625,24009.5,TARGET_HIT,TARGET_HIT,53.0078125,24073.46494140625,23651.968134765626,,BEARISH,BEARISH
PT-20260917145448-23DEAB,2026-08-31 04:50:00,24009.5,24028.849609375,TARGET_HIT,TARGET_HIT,-386.9921875,24067.347460937504,23649.3575,,BEARISH,BEARISH
PT-20260917145448-07D4D2,2026-08-31 04:55:00,24028.849609375,24008.05078125,TARGET_HIT,TARGET_HIT,415.9765625,24062.765787760418,23668.416865234376,,BEARISH,BEARISH
PT-20260917145448-1DEA34,2026-08-31 05:00:00,24008.05078125,24002.099609375,TARGET_HIT,TARGET_HIT,119.0234375,24057.640820312503,23647.93001953125,,BEARISH,BEARISH
PT-20260917145448-1C33B2,2026-08-31 05:05:00,24002.099609375,24010.650390625,TARGET_HIT,TARGET_HIT,-171.015625,24050.78082682292,23642.068115234375,,BEARISH,BEARISH
PT-20260917145448-779EB6,2026-08-31 05:10:00,24010.650390625,24007.05078125,TARGET_HIT,TARGET_HIT,71.9921875,24044.012532552086,23650.490634765625,,BEARISH,BEARISH
PT-20260917145448-3C5D7B,2026-08-31 05:15:00,24007.05078125,24003.80078125,TARGET_HIT,TARGET_HIT,65.0,24037.33590494792,23646.94501953125,,BEARISH,BEARISH
PT-20260917145448-E340B6,2026-08-31 05:20:00,24003.80078125,24010.30078125,TARGET_HIT,TARGET_HIT,-130.0,24029.295084635414,23643.74376953125,,BEARISH,BEARISH
PT-20260917145448-03B306,2026-08-31 05:25:00,24010.30078125,24011.400390625,TARGET_HIT,TARGET_HIT,-21.9921875,24025.888444010416,23650.14626953125,,BEARISH,BEARISH
PT-20260917145448-721325,2026-08-31 05:30:00,24011.400390625,23997.44921875,TARGET_HIT,TARGET_HIT,279.0234375,24023.015950520832,23651.229384765626,,BEARISH,BEARISH
PT-20260917145448-1AE9F4,2026-08-31 05:35:00,23997.44921875,24001.599609375,TARGET_HIT,TARGET_HIT,-83.0078125,24020.621712239583,23637.48748046875,,BEARISH,BEARISH
PT-20260917145448-634C8D,2026-08-31 05:40:00,24001.599609375,24004.150390625,TARGET_HIT,TARGET_HIT,-51.015625,24017.844986979166,23641.575615234375,,BEARISH,BEARISH
PT-20260917145448-0DFB42,2026-08-31 05:45:00,24004.150390625,24002.94921875,TARGET_HIT,TARGET_HIT,24.0234375,24015.481640624996,23644.088134765625,,BEARISH,BEARISH
PT-20260917145448-247AAC,2026-08-31 05:50:00,24002.94921875,24009.75,TARGET_HIT,TARGET_HIT,-136.015625,24014.04830729166,23642.90498046875,,BEARISH,BEARISH
PT-20260917145448-2475A2,2026-08-31 05:55:00,24009.75,24014.5,TARGET_HIT,TARGET_HIT,-95.0,24013.014973958332,23649.60375,,BEARISH,BEARISH
PT-20260917145448-31C732,2026-08-31 06:00:00,24014.5,24017.849609375,TARGET_HIT,TARGET_HIT,-66.9921875,24012.361653645832,23654.2825,,BEARISH,BEARISH
PT-20260917145448-55EF4D,2026-08-31 06:05:00,24017.849609375,24024.849609375,TARGET_HIT,TARGET_HIT,-140.0,24012.240820312498,23657.581865234373,,BEARISH,BEARISH
PT-20260917145448-02EC8D,2026-08-31 07:55:00,24067.05078125,24061.80078125,STOP_LOSS,STOPPED,-105.0,24067.112499999996,24428.05654296875,,BULLISH,BULLISH
PT-20260917145448-168E99,2026-08-31 08:00:00,24069.849609375,24061.80078125,STOP_LOSS,STOPPED,-160.9765625,24067.597493489582,24430.897353515622,,BULLISH,BULLISH
PT-20260917145448-995226,2026-08-31 08:15:00,24064.650390625,24058.25,STOP_LOSS,STOPPED,-128.0078125,24066.30419921875,24425.620146484373,,BULLISH,BULLISH
PT-20260917145449-1F9021,2026-08-31 09:20:00,24094.44921875,24051.94921875,STOP_LOSS,STOPPED,-850.0,24052.780013020834,24455.86595703125,,BULLISH,BULLISH
PT-20260917145449-E86FD2,2026-08-31 09:25:00,24075.19921875,24051.94921875,STOP_LOSS,STOPPED,-465.0,24053.35166015625,24436.32720703125,,BULLISH,BULLISH
PT-20260917145449-1628DE,2026-08-31 09:35:00,24068.099609375,24051.94921875,STOP_LOSS,STOPPED,-323.0078125,24052.80494791667,24429.121103515623,,BULLISH,BULLISH
PT-20260917145449-DF7874,2026-08-31 09:55:00,24080.400390625,24080.400390625,SESSION_CLOSE,EXPIRED,0.0,24051.438313802086,24441.606396484374,,BULLISH,BULLISH
PT-20260917145449-CF148D,2026-09-01 03:55:00,24063.94921875,24040.849609375,STOP_LOSS,STOPPED,-461.9921875,24051.140787760414,24424.908457031248,,BULLISH,BULLISH
PT-20260917145449-851169,2026-09-01 04:00:00,24066.19921875,24040.849609375,STOP_LOSS,STOPPED,-506.9921875,24052.836588541664,24427.192207031247,,BULLISH,BULLISH
PT-20260917145449-C78E43,2026-09-01 04:15:00,24021.19921875,24022.05078125,TARGET_HIT,TARGET_HIT,-17.03125,24053.317382812504,23660.88123046875,,BEARISH,BEARISH
PT-20260917145449-D1040A,2026-09-01 04:20:00,24022.05078125,24018.25,TARGET_HIT,TARGET_HIT,76.015625,24053.184895833336,23661.72001953125,,BEARISH,BEARISH
